time,open,high,low,close,Volume
349200,120.75,120.875,120.25,120.375,0
435600,120.5,120.75,120.125,120.625,0
522000,121,121.25,120.75,121.125,0
608400,121.5,121.875,121.25,121.75,0
694800,121.5,121.5,120.875,120.875,0
954000,120.75,121.5,120.375,121.25,0
1040400,121.5,121.875,120.75,120.875,0
1126800,120.875,121.375,120.75,121.125,0
1213200,121.125,121.5,121,121.375,0
1299600,121.625,121.875,121.125,121.625,0
1558800,121.5,122.375,121.5,122.125,0
1645200,122.375,122.5,121.75,121.75,0
1731600,121.75,122,121.5,121.625,0
1818000,121.625,122,121.625,121.75,0
1904400,122.125,122.25,121.5,121.625,0
2163600,121.25,121.25,120.625,120.625,0
2250000,120.25,120.5,120.125,120.125,0
2336400,120.25,120.875,120.125,120.625,0
2422800,120.75,121.25,120.125,120.125,0
2509200,120.375,120.5,120.25,120.375,0
2768400,120.625,121.5,120.625,121.25,0
2854800,121.25,121.375,120.5,120.5,0
2941200,120.375,120.75,120.25,120.5,0
3027600,120.375,120.75,120.125,120.75,0
3114000,120.625,120.75,120.375,120.5,0
3373200,120.5,120.75,120.125,120.625,0
3459600,120.875,120.875,120.375,120.875,0
3546000,120.625,121.25,120.375,121.125,0
3632400,121.875,122,121.25,122,0
3718800,121.75,122,121.25,121.375,0
3978000,121.625,122.25,121.5,122,0
4064400,122,122.125,121.25,121.375,0
4150800,121.5,122.875,121.375,122.875,0
4237200,122.875,122.875,122.375,122.5,0
4323600,122.375,123.125,122.25,122.625,0
4669200,122.75,123.25,122,122,0
4755600,121.625,122,121.375,121.75,0
4842000,121.625,121.625,121.125,121.25,0
4928400,121.375,122.25,121.375,122,0
5187600,122,122,121.25,121.25,0
5274000,121.625,121.625,121.25,121.375,0
5360400,121.5,121.5,121.25,121.375,0
5446800,122.875,123.125,122.75,123,0
5533200,123.125,123.75,123,123.375,0
5792400,123.25,123.25,122.875,123,0
5878800,122.75,123,122.625,122.875,0
5965200,122.875,123,122.625,122.875,0
6051600,122.75,123.125,122.75,122.875,0
6138000,122.875,123,122.75,122.75,0
6397200,122.75,123.75,122.625,123.125,0
6483600,123,123.375,123,123.375,0
6570000,123.375,123.375,123,123.125,0
6656400,123.25,123.5,122.25,122.5,0
6742800,122.5,122.75,122.375,122.625,0
7002000,122.875,123.375,122.625,122.875,0
7088400,122.625,122.75,122.5,122.5,0
7174800,122.625,122.75,122.375,122.75,0
7261200,123,123.25,122.75,123.125,0
7606800,123,123,122.625,122.75,0
7693200,122.875,122.875,122.625,122.875,0
7779600,123.125,123.625,123,123.625,0
7866000,123.625,124.75,123.625,124.375,0
7952400,124.625,125.5,124.625,124.875,0
8211600,125.125,125.5,124.875,125.375,0
8298000,125.25,125.75,125,125.625,0
8384400,125.625,125.625,124.25,124.875,0
8470800,125.125,125.25,124.625,124.75,0
8557200,124.25,125.5,124.25,125.125,0
8816400,125.375,126,125.375,125.875,0
8902800,126,127,126,126.75,0
8989200,126.5,126.5,125.5,125.75,0
9075600,125.875,126,125.25,125.75,0
9162000,126,126.125,125.625,125.625,0
9421200,126,126.375,126,126,0
9507600,126.25,126.5,126.125,126.375,0
9594000,126.5,126.625,125.75,125.875,0
9680400,125.875,126.5,125.75,126.25,0
9766800,128.25,128.875,128,128.375,0
10022400,128.25,128.875,128,128.375,0
10108800,128.25,128.875,128.25,128.5,0
10195200,128.5,128.5,127.75,128,0
10281600,128.5,128.625,128.125,128.5,0
10368000,128.625,128.875,128.5,128.625,0
10627200,128.25,128.625,128.25,128.25,0
