time,open,high,low,close,Volume
349200,146.625,146.75,144.875,145.375,0
435600,144.875,146.25,144.75,146,0
522000,146.25,147.125,146.125,146.875,0
608400,146.875,147.375,146.625,146.75,0
694800,146.625,146.75,145.5,145.625,0
954000,145,145.25,143.5,144.375,0
1040400,144.625,145,144.625,144.875,0
1126800,144.75,145.25,144.75,144.875,0
1213200,144.75,145,144,144.25,0
1299600,144,144.75,144,144.25,0
1558800,144.5,145,144.5,144.625,0
1645200,144.625,146.5,144.625,146.5,0
1731600,146.375,146.375,145.25,145.25,0
1818000,145.25,145.75,144.5,145.5,0
1904400,145.5,145.625,144.875,145.25,0
2163600,145.125,145.25,143.5,143.75,0
2250000,143.25,143.5,142.625,143.125,0
2336400,143,143.625,142.75,143.5,0
2422800,143.375,144,143.375,143.625,0
2509200,143.5,144,143.375,143.75,0
2768400,143.375,143.75,142.875,143.625,0
2854800,143.625,144.375,143.625,144.125,0
2941200,144.25,144.25,143.375,144,0
3027600,143.75,144.5,143.5,144.125,0
3114000,144.25,145,144.25,144.625,0
3373200,144.75,146.75,144.75,146.625,0
3459600,147.5,148.125,147.125,147.875,0
3546000,148.5,150,148.5,149.75,0
3632400,150.5,150.625,149.5,149.625,0
3718800,149.5,150.5,149,149.875,0
3978000,145.375,147.875,145.375,147.375,0
4064400,147.75,147.75,146.5,147.125,0
4150800,148,149.125,147.875,149,0
4237200,149.25,149.25,147,148.25,0
4323600,148.125,148.875,147.625,148.625,0
4669200,148.75,149.75,148.5,148.625,0
4755600,148.75,148.875,147.25,147.75,0
4842000,148,148.375,147,147.625,0
4928400,147.875,148.625,147,147.25,0
5187600,146.75,147.75,146,146.25,0
5274000,146.375,146.625,145.75,146,0
5360400,145.875,147.25,145.75,146.75,0
5446800,146.875,147.375,146.375,146.625,0
5533200,146.5,147.125,146.25,146.375,0
5792400,146.25,146.375,145.125,145.125,0
5878800,145,145.875,144.875,145.25,0
5965200,145.375,147.5,145.375,147.375,0
6051600,148,148.25,146.875,147.125,0
6138000,147,147.25,146.625,147.125,0
6397200,146.75,147.625,146.5,147.375,0
6483600,146.875,147,144.375,144.375,0
6570000,144.125,144.875,143.5,143.625,0
6656400,143.75,144.75,143.75,144.25,0
6742800,143.875,144,142.875,143.25,0
7002000,143,144.875,143,144.625,0
7088400,144.75,144.875,144.375,144.375,0
7174800,144.375,145,144.25,144.875,0
7261200,145,145.625,145,145.375,0
7606800,145.375,145.375,144,144.125,0
7693200,143.875,144.375,143.625,144.25,0
7779600,144.625,145,144.5,144.5,0
7866000,144.625,145.25,144.5,145.125,0
7952400,145.375,145.5,144.75,145.125,0
8211600,145,146.5,145,146.5,0
8298000,146.625,147.625,146.625,147.5,0
8384400,148,148.125,146.5,147,0
8470800,147.125,147.75,146,146.375,0
8557200,146.25,146.875,146,146.375,0
8816400,146.25,146.375,145.5,145.875,0
8902800,146.5,147.5,146.125,147.5,0
8989200,147.875,149.25,147.5,149.25,0
9075600,150.125,150.25,149.75,150.125,0
9162000,140.625,140.75,138.875,139.25,0
9421200,139,139.375,138.625,139,0
9507600,139.25,140.625,139.25,140.125,0
9594000,140.5,140.625,139.75,140,0
9680400,139.75,140.25,139.625,139.875,0
9766800,140.5,143,140.25,142.5,0
10022400,142.125,144,141.75,143.375,0
10108800,143.5,144.375,142.5,142.625,0
10195200,142.125,143.25,141.75,143,0
10281600,142.875,143.75,142.25,142.25,0
10368000,142.5,142.5,141.5,141.75,0
10627200,141,141.125,139.125,139.875,0
10713600,139.25,139.625,138.25,138.625,0
10800000,138.625,138.875,136.375,136.5,0
10886400,136.625,137.625,136.25,137.125,0
10972800,137.125,137.75,137.125,137.375,0
11232000,137.25,137.5,135.5,135.5,0
11318400,136.125,136.875,135.875,136.625,0
11404800,136.75,137,135.625,136.375,0
11491200,136.25,139.5,135.125,135.375,0
11577600,135.625,136.125,135.625,136,0
11836800,136,137.25,134.625,137.125,0
11923200,137.75,137.875,135.25,135.375,0
12009600,135,135.625,133.75,135.5,0
12096000,136,137.25,135.5,137,0
12182400,137.125,138,136.375,137.875,0
12441600,138,138.25,136.625,137,0
12528000,137,137.5,134.875,135.375,0
12614400,135.625,136.25,134.75,135.25,0
12700800,135.5,136.375,134,134.5,0
13046400,134.625,134.875,134.25,134.75,0
13132800,134.25,135.25,134.125,135.125,0
13219200,135.5,136,135.375,135.875,0
13305600,135.5,135.75,135,135.25,0
13392000,135.25,135.375,134.375,134.625,0
13651200,134.125,134.75,133.25,134.75,0
13737600,134.625,135.5,134.375,135.125,0
13824000,135,136.125,135,135.875,0
13910400,136.25,139.375,136.25,138,0
13996800,138.75,139.625,138.375,139.375,0
14256000,139.875,140.375,138.25,138.5,0
14342400,138.375,138.625,137.25,137.375,0
14428800,139.375,139.5,138.625,139.125,0
14515200,138.625,140,138.5,139,0
14601600,139.5,139.875,139.25,139.5,0
14860800,139.25,139.375,139,139,0
14947200,138.75,140.875,138.75,140.375,0
15033600,140.375,141.125,140.25,140.375,0
15120000,140.75,143.25,140.625,143,0
15206400,143.75,143.75,141.875,142.25,0
15465600,142.125,145.5,141.875,143.75,0
15552000,144.75,144.75,142,142,0
