time,open,high,low,close,Volume
1513551600,20650,20650,18345,19060,1054
1513638000,19135,19725,17180,17560,559
1513724400,17745,18350,16435,16470,784
1513810800,16400,17270,15080,15600,879
1513897200,15595,15825,12265,13900,2374
1514156400,13900,16100,13700,15800,406
1514329200,15655,16545,14460,14925,507
1514415600,15150,15280,13360,13840,746
1514502000,13965,15005,13835,14470,1078
1514761200,13955,15245,13080,14800,734
1514934000,14900,15450,14650,14990,719
1515020400,14925,15470,14205,15035,760
1515106800,15085,16845,14870,16790,814
1515366000,16425,16455,13870,15005,958
1515452400,14675,15365,14185,14505,863
1515538800,14405,14720,13480,14430,887
1515625200,14500,14910,12820,13405,1298
1515711600,13000,14080,12850,13775,787
1515970800,13600,14280,11160,11160,2552
1516143600,11190,11800,9225,11340,2657
1516230000,11125,12075,10645,11500,1708
1516316400,11335,12030,10990,11430,979
1516575600,11300,11830,9955,10255,1137
1516662000,10625,11350,9865,10985,1241
1516748400,10920,11450,10490,11250,232
1516834800,11450,11660,10830,11230,380
1516921200,11060,11620,10250,10875,573
1517180400,11510,11775,10970,11225,463
1517266800,11120,11245,9720,10090,1137
1517353200,10000,10275,9500,9945,842
1517439600,10020,10175,8480,9015,1485
1517526000,8890,9075,7750,8590,2535
1517785200,8305,8315,6870,7120,2186
1517871600,6850,7920,5970,7820,2234
1517958000,7620,8540,7235,8205,1379
1518044400,7790,8690,7645,8160,906
1518130800,8165,8770,7715,8585,764
1518390000,8380,8920,8075,8780,679
1518476400,8925,9000,8335,8555,550
1518562800,8505,9390,8505,9315,944
1518649200,9400,10180,9375,9910,1783
1518735600,10090,10265,9675,10120,1101
1518994800,10350,11760,10315,11725,2080
1519167600,11220,11280,10260,10335,623
1519254000,10500,10865,9760,9905,530
1519340400,9880,10340,9530,9960,0
1519599600,9680,10390,9270,10350,745
1519686000,10285,10875,10100,10740,761
1519772400,10665,11005,10330,10555,1130
1519858800,10450,11100,10220,10970,1345
1519945200,11035,11215,10760,11035,748
1520204400,11350,11700,11340,11570,990
1520290800,11595,11655,10570,10775,1580
1520377200,10735,10880,9385,9985,1888
1520463600,9970,10100,9105,9345,2524
1520550000,9350,9445,8390,9070,2742
1520805600,9490,9940,8735,9010,2732
1520892000,9165,9515,8825,9085,3375
1520978400,8905,9395,8185,8300,2638
1521064800,8005,8450,7700,8240,3093
1521151200,8340,8640,7885,8520,3065
1521410400,8275,8720,8100,8425,2746
1521496800,8420,9025,8320,8920,2050
1521583200,8990,9185,8775,8895,1829
1521669600,8905,9095,8500,8605,2123
1521756000,8650,8770,8270,8620,2895
1522015200,8650,8650,7840,7865,2433
1522101600,8220,8235,7790,7980,626
1522188000,7920,8090,7745,7890,493
1522274400,7895,8010,7070,7105,1684
1522620000,6905,7150,6775,6905,3539
1522706400,6975,7520,6965,7405,2274
1522792800,7430,7440,6725,6815,2951
1522879200,6790,6925,6550,6760,4565
1522965600,6760,6890,6485,6590,2415
1523224800,7025,7225,6605,6660,3348
1523311200,6705,6880,6640,6835,1882
1523397600,6860,6970,6785,6880,1746
1523484000,6920,8105,6660,7740,4825
1523570400,7790,8235,7760,7890,3045
1523829600,8005,8445,7880,7990,3858
1523916000,8015,8180,7805,7915,2676
1524002400,7870,8240,7860,8180,2826
1524088800,8190,8315,8100,8250,2718
1524175200,8300,8585,8235,8555,2318
1524434400,8910,9015,8775,8915,2952
1524520800,8965,9465,8920,9465,4681
1524607200,9575,9750,8780,9110,795
1524693600,9190,9265,8670,9165,526
1524780000,9135,9420,8940,8970,2190
1525039200,9375,9495,9140,9310,2999
1525125600,9285,9315,8815,9035,3143
1525212000,9070,9210,8985,9190,2093
1525298400,9245,9805,9180,9705,4177
1525384800,9710,9840,9540,9690,3762
1525644000,9605,9705,9160,9450,4705
1525730400,9410,9490,9010,9150,4435
1525816800,9185,9375,8955,9240,3015
1525903200,9255,9415,9040,9120,3063
1525989600,9110,9125,8380,8435,4980
1526248800,8660,8900,8285,8845,5754
1526335200,8735,8850,8435,8535,4222
1526421600,8475,8545,8115,8305,4978
1526508000,8290,8460,8115,8185,2872
1526594400,8225,8275,7915,8215,3390
1526853600,8525,8680,8320,8415,2701
1526940000,8345,8420,8070,8070,2341
1527026400,8075,8075,7445,7560,672
