time,open,high,low,close,Volume
1612479600,1745,1745,1745,1745,280
1612738800,1669.75,1793.25,1604.25,1731.75,303
1612825200,1775.75,1858.75,1748.75,1795.75,201
1612911600,1787.5,1869.5,1700,1738,288
1612998000,1774,1839.75,1728,1775.5,351
1613084400,1793.75,1879.75,1763,1876.5,335
1613343600,1868.25,1868.25,1674.5,1746.75,654
1613516400,1770.25,1866.5,1740,1864.75,364
1613602800,1840.75,1960.25,1840.25,1952.75,779
1613689200,1943.5,1981.5,1897.75,1962,615
1613948400,1967,1967,1567.25,1774,960
1614034800,1779.75,1779.75,1371,1545,1250
1614121200,1556,1711,1513.75,1602.75,532
1614207600,1626.75,1676.75,1534.5,1534.5,399
1614294000,1525.75,1576.75,1404.5,1440,597
1614553200,1436.75,1570.5,1413.5,1540.75,466
1614639600,1560,1610.75,1472,1475.75,453
1614726000,1483.25,1669.5,1483.25,1605.75,594
1614812400,1596.25,1638,1512.75,1521.5,526
1614898800,1529.5,1554.25,1446.75,1539,448
1615158000,1613.5,1807,1613.5,1807,684
1615244400,1811.25,1872,1811.25,1842,389
1615330800,1846.5,1893.75,1768.75,1831.5,993
1615417200,1840,1859.5,1735.5,1852.75,522
1615503600,1853,1857.75,1729.75,1765,495
1615759200,1862,1911.75,1743.5,1797.5,734
1615845600,1808,1825,1722.5,1806.5,506
1615932000,1800.25,1848.75,1748.5,1819,377
1616018400,1835.25,1859,1762.75,1777.5,533
1616104800,1784.75,1843,1733,1819,429
1616364000,1810,1813.5,1674.5,1685,701
1616450400,1670.5,1722.75,1648.75,1682.25,994
1616536800,1664,1743.75,1585.5,1615.75,562
1616623200,1606.5,1641,1570,1619.25,508
1616709600,1612.25,1698,1595,1689,374
1616968800,1699,1863.75,1695.75,1828,815
1617055200,1831.5,1876,1805.75,1858,502
1617141600,1863.25,1966.75,1798.75,1965.75,1336
1617228000,1957.25,2010.75,1908.5,1996,350
1617573600,2092.5,2158.5,2028.25,2129.5,732
1617660000,2137.5,2185.5,2067.25,2146.25,766
1617746400,2130.75,2151,1945,1996.75,2118
1617832800,2007.75,2094.75,1960,2073.25,563
1617919200,2067.75,2122.25,2065.25,2087,452
1618178400,2146,2230.25,2128.25,2174.5,881
1618264800,2169.5,2345,2163.5,2325.75,987
1618351200,2318.5,2434.75,2300,2391,1369
1618437600,2411.75,2527.5,2411.75,2523,1510
1618524000,2524.75,2572.75,2317,2474.75,2094
1618783200,2287.5,2292.5,2091.5,2208,2618
1618869600,2212.25,2339.5,2062.75,2320,2196
1618956000,2319.25,2480.5,2245.5,2406.75,2043
1619042400,2394.5,2654.5,2322,2411,4479
1619128800,2420,2450.25,2121.25,2332.5,4152
1619388000,2221.75,2541.5,2215,2470.75,2865
1619474400,2497,2692.5,2493.5,2652.75,2080
1619560800,2650,2751,2572,2712.25,2911
1619647200,2799.75,2844.75,2719,2750.25,1174
1619733600,2784,2850,2768.5,2795,2338
1619992800,3000,3379,2964.25,3311,3431
1620079200,3360,3552,3186,3434,6174
1620165600,3375.25,3515.5,3240,3490.75,3205
1620252000,3462.5,3642.25,3405.75,3495.25,3780
1620338400,3550,3623.25,3382,3520.25,2794
1620597600,3932.5,4240.25,3712.75,3932.5,6312
1620684000,4012.5,4159.5,3795.5,4159,4410
1620770400,4152.75,4406.5,3944.25,4117.5,7068
1620856800,4135,4260,3555,3716.5,10378
1620943200,3739.75,4196.75,3620,4018,2402
1621202400,3505,3612.25,3138,3448,5807
1621288800,3310,3578.5,3200.5,3443,4614
1621375200,3418,3451.25,2387.25,2541.5,10542
1621461600,2558,2999.75,2157,2773.25,6109
1621548000,2842,2957.25,2253,2262,4997
1621807200,2158,2675,2062,2630.5,5933
1621893600,2630,2758,2395.25,2560.5,4384
1621980000,2560.5,2920,2560.5,2799.75,3519
1622066400,2847,2921.25,2660,2733,2378
1622152800,2772.5,2810,2435,2435,2923
1622412000,2493.75,2760,2291,2595,5040
1622584800,2598.25,2823.5,2565.75,2744.75,2858
1622671200,2742.5,2911.5,2675.5,2835.5,2302
1622757600,2839.75,2890,2564.25,2715,3243
1623016800,2738,2867,2641.5,2662,2353
1623103200,2625,2651,2317,2541.25,3907
1623189600,2535,2642.5,2415.5,2570.5,3105
1623276000,2589.25,2637.5,2430,2474.75,2256
1623362400,2487,2499,2370.75,2384,1562
1623621600,2510,2613.75,2466.75,2544.25,1893
1623708000,2579.25,2645.75,2518,2534,1352
1623794400,2550,2571.25,2379.5,2397.75,1539
1623880800,2415,2464.75,2306,2341.25,2038
1623967200,2338,2379.5,2137.5,2198.75,2210
1624226400,2250,2265,1891.5,1939,4289
1624312800,1895,1996.5,1697.75,1928.75,4724
1624399200,1880,2043.75,1822.75,1928.5,2373
1624485600,1960,2054.25,1900,2036,1575
1624572000,2019,2036,1798.75,1872,2996
1624831200,1843,2156.5,1836.5,2143.25,2493
1624917600,2130.75,2259.5,2074.75,2204,1920
1625004000,2222,2293,2101.5,2247,1484
1625090400,2273.25,2291.25,2081,2130.75,1829
1625176800,2144,2150.75,2028.75,2098.75,1487
1625436000,2301.5,2395.5,2190.75,2325.25,4384
1625608800,2304,2420.75,2294.75,2371.25,2013
1625695200,2362,2362,2131.5,2140,2868
1625781600,2110,2195,2048.75,2136,2135
1626040800,2174.25,2184,2009.25,2030,1305
1626127200,2030.75,2051.25,1918.75,1948.5,1618
1626213600,1941.75,2024.75,1860,1988.75,1919
1626300000,2002.25,2043.75,1878.5,1924.25,1946
1626386400,1926.5,1968,1849.25,1899,1672
1626645600,1911,1924.5,1801.5,1821.75,1728
1626732000,1815.25,1843,1715,1797.75,3081
1626818400,1784.75,2042.75,1755,1955,5292
1626904800,1957,2046.25,1947.5,2018.5,3457
1626991200,1997.5,2095,1994.5,2042.5,2298
1627250400,2151,2435.25,2151,2251,4964
1627336800,2232,2320.5,2152,2241,3758
1627423200,2254,2355,2248.25,2299.75,4752
1627509600,2313,2360,2281,2319,2223
1627596000,2321.75,2471.25,2321.75,2443.25,2162
1627855200,2658,2681,2518,2611.5,3646
1627941600,2619.75,2647.75,2450,2499.5,3101
1628028000,2503,2740,2466.75,2718.25,3631
1628114400,2730.25,2845.25,2529.5,2818,6665
1628200800,2833,2960,2730,2925.75,3388
1628460000,3036.75,3200,2902,3075.75,4758
1628546400,3109,3250.5,3059.5,3164.75,3602
1628632800,3180,3290,3136,3250.75,2477
1628719200,3233,3250,2986.5,3082.75,3435
1628805600,3056.75,3307.5,2997,3289.75,2839
1629064800,3265.25,3353,3138.75,3171.5,3294
1629151200,3180,3303.5,3018,3070.25,3632
1629237600,3052.5,3132.5,2953.5,3008.5,3586
1629324000,3013.5,3173.5,2960,3165.5,2678
1629410400,3169.5,3315.75,3159.5,3269,3073
1629669600,3178,3387.75,3163.25,3343,3238
1629756000,3340.25,3367.25,3144.5,3218.75,3807
1629842400,3215.5,3253.5,3078.5,3214,4296
1629928800,3254.5,3277,3073,3134.75,2217
1630015200,3159.25,3304.5,3077,3284.5,3026
