time,open,high,low,close,Volume
930693600,2293.5,2348.5,2268.5,2325.5,2456
930780000,2326,2357,2295,2347.5,1247
931212000,2383.5,2410,2376.5,2396,1247
931298400,2365,2367.5,2341,2352,3440
931384800,2368,2405,2350.5,2388,3604
931471200,2395,2405.5,2384,2398,2126
931730400,2423,2437,2389,2422,3650
931816800,2394,2399,2372.5,2382,3552
931903200,2397.5,2426.5,2382,2424,3067
931989600,2434,2453.5,2428.5,2448,2875
932076000,2448,2489,2446.5,2484,1798
932335200,2475.5,2489,2442,2449.5,2699
932421600,2402,2406,2358.5,2369.5,3934
932508000,2356.5,2387.5,2342,2353,3047
932594400,2316,2324.5,2299,2312,3224
932680800,2325,2333,2283.5,2303,2485
932940000,2281,2302,2265.5,2268,2851
933026400,2276,2328.5,2274,2325.5,3644
933112800,2319.5,2353,2292,2334.5,3190
933199200,2326,2329,2269,2284.5,3528
933285600,2304,2327,2282,2294,2712
933544800,2266.5,2325,2260.5,2310.5,3088
933631200,2282,2302.5,2224,2261.5,4979
933717600,2262,2273.5,2233,2247,3463
933804000,2207,2241.5,2164.5,2226,4686
933890400,2251,2273.5,2215,2224.5,3736
934149600,2236,2244,2206,2227,4108
934236000,2142,2167,2132,2159,5955
934322400,2197,2230,2184.5,2226.5,3989
934408800,2248.5,2272.5,2234,2238,4343
934495200,2217.5,2302.5,2214,2297.5,2947
934754400,2318,2348,2307,2313,3878
934840800,2330,2359,2289,2334.5,3717
934927200,2350,2363.5,2320,2323.5,3717
935013600,2322,2326.5,2278,2302,4291
935100000,2295.5,2313.5,2282.5,2308,1928
935359200,2337,2372,2335.5,2363,2778
935445600,2388,2444.5,2379.5,2405,3037
935532000,2415,2476.5,2406.5,2470.5,3321
935618400,2470,2477.5,2425,2428,3282
935704800,2425,2449,2399.5,2405,3161
935964000,2405,2421,2363,2374,4640
936050400,2379,2409,2332.5,2395.5,4280
936136800,2395,2432,2389,2414.5,3404
936223200,2413.5,2416.5,2362,2401.5,2633
936309600,2403.5,2513,2396,2513,3397
936655200,2531,2531,2497,2502.5,4583
936741600,2500,2508.5,2456,2469,495
936828000,2465,2507,2454,2506,241
936914400,2505,2564,2502,2537,103
937173600,2540,2550,2487.5,2495.5,50
937260000,2529,2561,2509.5,2545,5095
937346400,2544,2579.5,2491,2494,5922
937432800,2493,2513,2442.5,2494,3096
937519200,2497,2574,2492.5,2568.5,2335
937778400,2585,2588,2551,2570,5116
937864800,2578,2578,2503,2510,5365
937951200,2510,2548.5,2483,2538,6163
938037600,2537,2567,2415.5,2434,5969
938124000,2433,2439.5,2375,2426,5198
938383200,2427,2486.5,2427,2451.5,5805
938469600,2451,2470,2386,2463,5981
938556000,2464,2476.5,2415,2417,5848
938642400,2417,2462.5,2405,2439.5,4173
938728800,2436.5,2440,2379.5,2431.5,3672
938988000,2431.5,2499.5,2424.5,2498.5,5343
939074400,2496,2535.5,2458,2508,4548
939160800,2504.5,2559,2501,2555.5,5926
939247200,2555.5,2599,2533,2552,5220
939333600,2550,2580,2505,2578,2303
939592800,2578,2611.5,2568,2608,5026
939679200,2609,2617,2545.5,2556,6726
939765600,2532,2554.5,2465.5,2474,6473
939852000,2486,2508,2445,2492,4699
939938400,2495,2498.5,2405,2416,6291
940197600,2406.5,2437,2318.5,2381,5848
940284000,2380.5,2424,2359.5,2385,5597
940370400,2396,2492,2396,2472.5,5618
940456800,2470.5,2514,2413,2513,3986
940543200,2511,2547,2493,2496.5,4615
940802400,2497.5,2528,2470,2501,4965
940888800,2499.5,2545,2476,2476,4763
940975200,2475,2489,2438,2478,4763
941061600,2478,2564.5,2457,2562,4403
941148000,2560,2672,2551,2655.5,3570
941410800,2650,2682.5,2633,2639,5503
941497200,2633,2684.5,2626.5,2643,4812
941583600,2641,2705.5,2640,2695,4588
941670000,2693.5,2732,2692,2723,3888
941756400,2723,2784,2710,2784,4281
942015600,2750.5,2810,2740.5,2808,5861
942102000,2805,2847.5,2753,2785,5598
942188400,2786,2839,2770,2818.5,4746
942274800,2810.5,2869,2810.5,2866.5,6213
942361200,2864,2910,2802,2905,4665
942620400,2908.5,2918,2883.5,2898.5,5622
942706800,2892,2984,2889,2976,5443
942793200,2920,2985,2920,2931,7416
942879600,2929.5,3021,2923.5,3018,5760
942966000,3015,3049,2992.5,3043.5,5208
943225200,3052,3069.5,3019,3065.5,7267
943311600,3066,3078,2982.5,3013,6032
943398000,3011,3123,2990,3119,2099
943570800,3119.5,3165,3112.5,3121,7106
943830000,3124,3142.5,3067,3068,9115
943916400,3071,3079,2968,2972,9468
944002800,2971,3030,2961.5,3013.5,7442
944089200,3015.5,3115,3010.5,3111,8294
944175600,3110,3218.5,3094,3174,8294
944434800,3174.5,3229,3157,3203,10986
944521200,3200,3227,3160.5,3209.5,10673
944607600,3205,3228,3160,3165.5,1587
944694000,3162,3223.5,3105,3169,595
944780400,3160,3220,3131,3207,235
945039600,3213,3277,3176,3247,227
945126000,3285,3324,3210.5,3224.5,12508
945212400,3226,3287,3169,3280.5,10766
945298800,3282,3383,3276,3382,8345
945385200,3383,3458.5,3379,3413.5,7837
945644400,3439,3439,3439,3439,8968
945730800,3439,3597.5,3431.5,3592,8527
945817200,3594,3626,3549.5,3618.5,5642
945903600,3613.5,3682,3599.5,3636,8313
946249200,3635.5,3678.5,3566,3641,8107
946335600,3635,3674,3596,3622,7255
946422000,3621.5,3748,3611.5,3744.5,7790
946508400,3744.5,3804.5,3720,3735,3539
946594800,3728.5,3772,3722.5,3754,15414
