time,open,high,low,close,Volume
157849200,184,184.8,173.9,175.1,0
157935600,173,175.5,170.5,174.7,0
158194800,172,174.5,167.5,174.4,0
158281200,171,174,168.5,173.4,0
158367600,176,180,176,177.4,0
158454000,179,179.1,177,178.3,0
158540400,177,181.3,176.5,181.3,0
158799600,181,181,178.6,178.6,0
158886000,177,178.6,176.5,178.6,0
158972400,178.8,179.4,177.3,177.3,0
159058800,177,177,174.6,175.1,0
159145200,174.7,175.8,172.1,172.1,0
159404400,173.6,176.2,173.6,176.2,0
159490800,173.7,173.7,173.7,173.7,0
159577200,175.9,175.9,174.3,174.3,0
159663600,177,178.9,176.4,176.4,0
159750000,179,180,177.8,179.5,0
160009200,180,180,176.8,176.8,0
160095600,177.3,177.3,175.4,176,0
160182000,177.4,179.1,177.4,179.1,0
160268400,179.7,180.7,178,178.3,0
160354800,178,178.4,177,178,0
160614000,179.1,179.7,178.1,178.3,0
160700400,176.5,177.5,175.6,177.3,0
160786800,177.2,177.7,176.5,176.7,0
160873200,174.9,176.7,174.1,176.3,0
160959600,177.2,177.4,176.4,177.3,0
161218800,176,176.4,175.5,175.6,0
161305200,176.3,177.1,171.3,176.8,0
161478000,180.5,186.7,180.2,185.8,0
161564400,186,186.8,182.5,184.9,0
161910000,182,185.7,181.7,185.4,0
161996400,186,188,185.5,185.6,0
162082800,185.7,188.4,185.4,187.7,0
162169200,188,188.5,185,186,0
162424800,186.7,187.5,186.7,186.9,0
162511200,189,189,184.1,184.4,0
162597600,185.5,185.7,183.2,185.2,0
162684000,184.2,184.9,181.4,182.5,0
162770400,183,183,181,183,0
163029600,183.3,187.5,182.2,182.6,0
163116000,181.5,185,177,177,0
163202400,177,180.1,176.4,178.7,0
163288800,179.8,181.4,179.8,180.6,0
163375200,179.5,179.5,176.8,178,0
163634400,177.1,177.8,176.1,177.2,0
163720800,179.1,180.5,178.7,180,0
163807200,178,178.7,177.6,178.1,0
163893600,178.9,180,178.9,179.5,0
163980000,178.4,178.7,178.1,178.7,0
164239200,178.5,179.3,177.6,179,0
164325600,179,179.5,178.3,178.6,0
164412000,179.2,179.4,178.5,179.2,0
164498400,178.8,178.8,175,175.5,0
164584800,176.5,177,175.5,175.6,0
164844000,176.8,178.8,175.2,175.9,0
164930400,177.2,177.2,175.7,176.2,0
165016800,176.5,178.2,176.5,178.1,0
165103200,177.8,178,175.4,176,0
165448800,178.2,179.7,178,179.5,0
165535200,179.7,179.7,178.4,179.1,0
165621600,179.6,179.9,177.9,178.1,0
165708000,177.5,177.5,176,177.1,0
165794400,175.5,175.9,173.3,173.8,0
166053600,174.5,174.5,173,174.1,0
166140000,175.2,175.6,174.4,174.5,0
166226400,174,174.7,173.3,174.5,0
166312800,173.7,173.7,172.1,173.1,0
166399200,173.3,173.3,172.2,172.7,0
166658400,169,169.7,165.8,166.2,0
166744800,163,165.7,162.3,164.6,0
166831200,166.5,167.4,166.1,166.5,0
166917600,167.5,170.2,166.9,169.5,0
167004000,170.8,171,168.4,169,0
167263200,166,166.4,164.9,165.7,0
167349600,165.1,168,165,166.7,0
167436000,166.9,169.5,165.8,168.8,0
167522400,168.5,168.5,166.5,167,0
167608800,166.5,167.2,166,166.8,0
167868000,166.4,167.7,166.3,166.3,0
167954400,167.5,168.4,167.3,167.8,0
168040800,167.3,168,166.5,166.8,0
168127200,167,167,165.5,165.5,0
168213600,166.2,166.5,165,165,0
168472800,164.2,164.2,163.4,163.5,0
168559200,164.5,167.4,164.1,164.9,0
168645600,165.1,166.5,165.1,166.1,0
168732000,166.4,167.5,166.4,167.3,0
168818400,166.7,166.7,165.9,166.6,0
169077600,166,166,165.6,165.9,0
169164000,166.5,166.8,166,166.7,0
169250400,167.4,171.3,167,169.3,0
169336800,166.5,166.7,165.7,165.9,0
169423200,166.5,168.5,166.2,166.9,0
169682400,167.6,169.4,167.6,167.7,0
169768800,167.2,168.5,167.2,168.2,0
169855200,169,172.8,168.7,172.2,0
169941600,175.7,176.9,173.3,173.5,0
170028000,174.8,175.2,173.3,174.7,0
170373600,173.5,173.6,172,172,0
170460000,172,172.4,169.6,170,0
170546400,171.9,172.1,169.1,170.1,0
170632800,169.1,169.7,168.2,169,0
170892000,164.5,165.5,162.4,165.2,0
170978400,167,167.8,166.4,167.5,0
171064800,167.5,167.5,165.7,165.9,0
171151200,166,168.2,165.7,167.4,0
171237600,167.4,167.6,166.8,167.2,0
171496800,167.7,168.5,167,168.5,0
171583200,168.3,168.3,167,167.3,0
171669600,167,168.2,166,167.1,0
171756000,167,167.6,166.5,166.5,0
171842400,166.5,166.5,165.7,165.9,0
172101600,165.8,166,164,164.4,0
172188000,164.9,166.2,164.9,166,0
172274400,165.6,165.7,164.3,165.4,0
172360800,164.6,168.5,163.4,164.3,0
172447200,163.9,164.5,163.9,164.3,0
172706400,163.8,164,163.3,163.5,0
172792800,163.5,164.7,163.4,164.5,0
172879200,165,166.4,165,166.3,0
172965600,165.6,166.2,165.2,166,0
173052000,165.7,175,165.7,167.9,0
173311200,168.4,173.3,160,167.8,0
173397600,168.3,169.9,167.1,168.1,0
173484000,166.5,167.2,166.1,166.3,0
173570400,166,166.5,165.3,166.4,0
173916000,165.5,165.8,163.6,164,0
174002400,164.3,167.1,164.3,166.7,0
174088800,167.5,167.7,162,166.9,0
174175200,165.9,165.9,164.6,165.3,0
174261600,166,175.2,165.9,167.4,0
174520800,167.8,168.3,166.5,167,0
174607200,166.2,166.5,165.8,165.9,0
174693600,165.3,165.7,165,165.3,0
174780000,165.5,165.8,164.6,165.3,0
174866400,164.4,166,164,165.4,0
175125600,164.2,165.7,164.1,165.1,0
175212000,166.4,166.8,161.4,166.4,0
175298400,165.2,165.6,164.7,165.5,0
175384800,165.8,166.3,165.5,166,0
175471200,166.2,167.9,166.1,167.9,0
175730400,167.1,170.1,167.1,169.8,0
175816800,170.4,170.8,167.6,167.7,0
175903200,175.2,175.4,173.4,173.8,0
175989600,173.5,174.3,173,173.4,0
176076000,173.8,173.9,173.4,173.4,0
176335200,173.1,173.9,173.1,173.1,0
176421600,172.7,172.7,171.5,171.6,0
176508000,171.3,171.7,170.5,171,0
176594400,172,172,171,171.3,0
176680800,171,171,165.5,166.6,0
176940000,166,168,166,166.7,0
177026400,168,169.2,167.7,168.4,0
177112800,168,168,160.4,165,0
177199200,165.1,166.3,163,163.9,0
177285600,165,166.8,164.9,166.8,0
177544800,166.9,166.9,162.2,162.2,0
177631200,165.8,166.4,165.3,166.2,0
177717600,167,167.8,166.5,167,0
177804000,166.5,166.7,165.6,166.3,0
177890400,166.6,166.7,165.8,165.8,0
178149600,165.9,166.3,165.7,166,0
178236000,166.1,166.5,165.3,165.9,0
178322400,165.6,166.3,164.8,166.3,0
178408800,166.3,166.8,165.3,165.5,0
178495200,165.5,167,162.5,162.8,0
178840800,152.8,153.3,152.8,152.8,0
178927200,151,154.4,150.8,153.7,0
179013600,155.8,156.3,154.8,155.2,0
179100000,155.6,156,155.4,156,0
179359200,155.4,155.4,152.8,153,0
179445600,148,151.9,148,151.8,0
179532000,152.9,153.2,150.3,150.4,0
179618400,149.5,150.2,148.5,149.6,0
179704800,149.6,150.2,149.5,149.7,0
179964000,150,150.2,149.8,150,0
180050400,149.1,149.4,147.5,147.7,0
180136800,145,145.5,143,144.3,0
180223200,143.2,143.2,136.7,137.8,0
180309600,135.4,141.2,135,138.4,0
180568800,139,139.1,133.8,134.8,0
180655200,129,132.1,129,131.2,0
180741600,135.8,137.5,134.2,137.5,0
180828000,135.8,137.8,135.4,137,0
180914400,136.1,139.3,136.1,139,0
181173600,138.2,141.3,138.2,139.8,0
181260000,141.5,143.9,141.5,142.2,0
181346400,145,145.8,143.6,144.2,0
181432800,145,146.2,142.5,143.4,0
181519200,140.7,141.5,138.9,139.9,0
181778400,139.4,142.7,139.2,142.6,0
181864800,143.8,144.7,143.3,143.7,0
181951200,141.6,141.7,138.5,139.6,0
182037600,141.2,141.7,140,141.7,0
182124000,142.3,144,142.2,143.6,0
182469600,142.2,143.3,140.7,142.9,0
182556000,144,144.5,142.5,142.9,0
182642400,144.7,145.5,143.8,144,0
182728800,146,147.4,145.7,146.1,0
182988000,146.4,146.8,145.5,146.8,0
183074400,147.9,148,144.6,145.2,0
183160800,145.6,146.6,144.8,146.5,0
183247200,145.9,145.9,143.9,145.1,0
183333600,144,145,143.5,144.1,0
183596400,143.5,143.6,142.7,143,0
183682800,142.8,143.4,142,143.3,0
183769200,143,144.3,142.5,144.1,0
183855600,145,145,143.5,143.6,0
183942000,143.3,143.3,142.3,142.8,0
184201200,143.5,143.7,142.3,143.3,0
184374000,145.3,149.1,145.2,148.4,0
184460400,147.4,147.6,146,146,0
184546800,145.2,146.3,144.6,146.1,0
184806000,144.5,145.3,144.5,144.7,0
184978800,144,144.5,143.3,144,0
185065200,144.2,144.4,142.8,142.9,0
185151600,143.3,143.3,141,141.6,0
185410800,141.8,142,139.1,139.3,0
185497200,140.3,140.4,138.1,140.3,0
185583600,141.9,143,141.1,142.9,0
185670000,142,142.9,141.8,141.8,0
185756400,141.8,141.8,140.6,141.1,0
186015600,140.8,141.3,140,141.3,0
186102000,141.3,141.8,140.2,140.3,0
186188400,140.5,140.5,139.5,139.6,0
186361200,138.6,139.4,138.2,138.8,0
186620400,138.8,138.8,138,138.4,0
186706800,139.2,141.3,138.8,140,0
186793200,140.5,140.6,138.9,139,0
186879600,139.6,140.3,139,139,0
186966000,138.6,138.8,137.8,138.7,0
187225200,138.2,138.2,136.7,136.9,0
187311600,136.9,138.7,136.7,138.2,0
187398000,138.8,140.3,138.7,139.9,0
187484400,140.5,141.4,140,140,0
187570800,139,139.3,138.5,138.9,0
187830000,139,139,137.5,138.1,0
187916400,138.7,139.4,138.6,138.9,0
188002800,138.6,139.6,138.6,139.2,0
188089200,139.7,139.9,138.2,139.1,0
188175600,139.2,147.9,139.2,146.1,0
188434800,143.9,145.7,143.7,143.7,0
188521200,142.5,143,141.3,141.9,0
