time,open,high,low,close,Volume
900280800,5.31,5.405,5.235,5.333,7223
900367200,5.335,5.385,5.285,5.325,4955
900453600,5.34,5.36,5.29,5.343,8662
900540000,5.35,5.42,5.295,5.34,6893
900626400,5.335,5.395,5.285,5.373,8119
900885600,5.375,5.475,5.375,5.47,18888
900972000,5.47,5.575,5.405,5.54,15583
901058400,5.54,5.71,5.525,5.66,23455
901144800,5.67,5.85,5.645,5.802,22755
901231200,5.84,5.885,5.635,5.707,9393
901490400,5.71,5.72,5.61,5.65,8528
901576800,5.655,5.705,5.615,5.67,13601
901663200,5.68,5.75,5.58,5.593,10412
901749600,5.59,5.6,5.48,5.515,10214
901836000,5.52,5.54,5.425,5.458,11378
902095200,5.46,5.485,5.355,5.36,12475
902181600,5.365,5.48,5.35,5.453,9150
902268000,5.45,5.5,5.385,5.405,6419
902354400,5.41,5.48,5.395,5.43,16149
902440800,5.43,5.45,5.265,5.273,5390
902700000,5.275,5.325,5.265,5.31,12812
902786400,5.32,5.335,5.14,5.178,13162
902872800,5.17,5.25,5.12,5.14,20229
902959200,5.15,5.2,5.04,5.188,20229
903045600,5.18,5.2,5.1,5.15,5667
903304800,5.165,5.165,5.03,5.11,11154
903391200,5.12,5.12,5.04,5.07,6307
903477600,5.07,5.12,5.04,5.068,9953
903564000,5.065,5.18,5.045,5.145,6813
903909600,5.175,5.175,5.12,5.125,20933
903996000,5.125,5.13,4.99,5.01,20114
904082400,5.01,5.085,4.895,4.965,15459
904168800,4.96,4.985,4.84,4.855,15280
904255200,4.9,4.935,4.675,4.695,10631
904514400,4.705,4.78,4.67,4.678,15127
904600800,4.68,4.885,4.605,4.79,9012
904687200,4.79,4.885,4.79,4.84,18312
904773600,4.84,5,4.75,4.95,9186
904860000,4.96,5.06,4.93,5.03,11001
905205600,5.04,5.055,4.86,4.913,11015
905292000,4.91,4.985,4.855,4.95,14024
905378400,4.95,5.11,4.94,5.05,17677
905464800,5.05,5.15,4.935,5.025,6089
905724000,5.005,5.03,4.94,4.96,8088
905896800,4.94,5.005,4.91,4.92,6376
905983200,4.92,5.02,4.905,4.985,6464
906069600,5,5.01,4.94,4.975,11687
906328800,4.985,5.055,4.84,4.855,6461
906415200,4.87,4.925,4.865,4.89,16103
906501600,4.89,5.07,4.88,5.043,18110
906588000,5.05,5.175,5.025,5.153,18110
906674400,5.16,5.25,5.145,5.168,14592
906933600,5.21,5.3,5.12,5.29,25093
907020000,5.29,5.4,5.28,5.36,14947
907106400,5.36,5.4,5.24,5.36,20108
907192800,5.36,5.475,5.28,5.295,16135
907279200,5.295,5.345,5.195,5.207,16503
907538400,5.2,5.23,5.055,5.065,6437
907624800,5.07,5.12,5.05,5.09,10806
907711200,5.1,5.165,5.03,5.137,21170
907797600,5.15,5.23,4.95,4.997,25146
908143200,4.835,4.89,4.81,4.838,7870
908229600,4.84,4.88,4.82,4.84,7467
908316000,4.835,4.865,4.79,4.83,12319
908402400,4.845,4.935,4.765,4.895,17031
908488800,4.915,4.99,4.83,4.95,5051
908748000,4.935,4.95,4.88,4.885,7370
908834400,4.89,4.92,4.84,4.885,4684
908920800,4.88,4.94,4.865,4.885,5045
909007200,4.89,4.895,4.835,4.883,3702
909093600,4.885,4.91,4.855,4.875,11793
909356400,4.87,5,4.82,4.983,13147
909442800,4.98,5.03,4.915,4.945,14940
909529200,4.945,5.11,4.945,5.048,15367
909615600,5.05,5.13,5.02,5.075,7200
909702000,5.075,5.09,5.02,5.043,6475
909961200,5.05,5.07,4.995,5.03,16526
910047600,5.03,5.03,4.86,4.92,6906
910220400,4.93,5.055,4.93,5.045,8991
910306800,5.045,5.085,4.99,5.01,5105
910566000,5,5.05,4.975,5.035,5429
910652400,5.04,5.045,4.975,4.993,4925
910738800,4.99,5.015,4.975,5,25134
910825200,5,5.15,4.98,5.133,16426
910911600,5.135,5.15,5.005,5.025,18965
911170800,5.01,5.05,4.895,4.927,8203
