time,open,high,low,close,Volume
417826800,29.25,29.56,29.01,29.4,0
417913200,29.4,29.6,29.25,29.27,0
418258800,29.3,29.7,29.29,29.44,0
418345200,29.5,29.8,29.5,29.71,0
418431600,29.9,29.92,29.65,29.9,0
418518000,29.92,30.2,29.86,30.17,0
418604400,30.65,30.65,30.25,30.38,0
418863600,30.4,30.41,30,30.25,0
418950000,30.5,31,30.5,30.83,0
419036400,30.6,30.95,30.6,30.82,0
419122800,30.7,30.86,30.65,30.82,0
419209200,30.57,30.6,30.35,30.48,0
419468400,30.56,30.8,30.55,30.75,0
419554800,30.7,30.85,30.7,30.75,0
419641200,30.65,30.77,30.6,30.7,0
419727600,30.75,30.75,30.58,30.68,0
419814000,30.62,30.85,30.62,30.75,0
420069600,30.78,30.89,30.78,30.84,0
420156000,30.81,30.85,30.69,30.71,0
420242400,30.8,30.82,30.78,30.78,0
420328800,30.73,30.9,30.68,30.74,0
420415200,30.7,30.74,30.63,30.63,0
420674400,30.66,30.72,30.57,30.61,0
420760800,30.7,30.7,30.45,30.5,0
420847200,30.5,30.55,30.39,30.42,0
420933600,30.47,30.47,30.2,30.2,0
421020000,30.4,30.43,29.95,30.12,0
421279200,30.43,30.43,29.95,30.1,0
421365600,30.1,30.4,30.1,30.31,0
421452000,30.15,30.15,29.95,29.97,0
421538400,29.75,29.85,29.64,29.72,0
421624800,29.65,29.8,29.53,29.8,0
421884000,29.6,30.05,29.6,29.99,0
421970400,29.91,30.15,29.85,29.97,0
422056800,29.85,29.91,29.7,29.9,0
422143200,29.91,30,29.91,29.95,0
422229600,30.1,30.66,30.1,30.3,0
422488800,30.25,30.5,30.25,30.27,0
422575200,30.05,30.07,29.95,30.05,0
422661600,29.95,30.25,29.95,30.25,0
422748000,30.3,30.5,30.3,30.31,0
422834400,30.25,30.48,30.15,30.19,0
423180000,30.05,30.45,30.05,30.25,0
423266400,30.35,30.35,30.2,30.33,0
423352800,30.45,30.45,30.4,30.4,0
423439200,30.35,30.45,30.3,30.36,0
423698400,30.3,30.35,30.3,30.35,0
423784800,30.1,30.6,30.1,30.58,0
423871200,30.59,30.71,30.59,30.6,0
423957600,30.6,30.65,30.45,30.49,0
