time,open,high,low,close,Volume
639093600,1.59,1.655,1.58,1.635,0
639180000,1.6,1.65,1.599,1.62,0
639266400,1.615,1.635,1.61,1.615,0
639352800,1.615,1.635,1.61,1.625,0
639612000,1.612,1.64,1.612,1.637,0
639698400,1.627,1.63,1.613,1.62,0
639784800,1.61,1.61,1.595,1.605,0
639871200,1.595,1.6,1.59,1.598,0
640216800,1.597,1.6,1.592,1.598,0
640303200,1.594,1.6,1.585,1.585,0
640389600,1.583,1.587,1.583,1.583,0
640476000,1.581,1.581,1.55,1.57,0
640562400,1.56,1.56,1.54,1.543,0
640821600,1.525,1.56,1.525,1.555,0
640908000,1.54,1.556,1.54,1.555,0
640994400,1.56,1.57,1.552,1.552,0
641080800,1.555,1.564,1.555,1.558,0
641167200,1.56,1.56,1.55,1.555,0
641426400,1.565,1.57,1.565,1.565,0
641512800,1.575,1.575,1.565,1.565,0
641599200,1.575,1.58,1.575,1.575,0
641685600,1.575,1.575,1.575,1.575,0
641772000,1.57,1.575,1.57,1.575,0
642031200,1.58,1.585,1.575,1.58,0
642117600,1.585,1.589,1.582,1.583,0
642204000,1.587,1.587,1.576,1.576,0
642290400,1.58,1.58,1.574,1.574,0
642376800,1.571,1.575,1.565,1.565,0
642636000,1.559,1.559,1.555,1.556,0
642722400,1.555,1.555,1.552,1.552,0
642808800,1.559,1.575,1.559,1.57,0
642895200,1.57,1.575,1.57,1.57,0
642981600,1.565,1.565,1.54,1.554,0
643240800,1.62,1.625,1.615,1.62,0
643327200,1.61,1.62,1.605,1.613,0
643413600,1.603,1.606,1.597,1.602,0
643500000,1.602,1.602,1.595,1.6,0
643586400,1.595,1.6,1.59,1.592,0
643932000,1.585,1.588,1.585,1.585,0
644018400,1.585,1.595,1.585,1.585,0
644104800,1.586,1.604,1.585,1.59,0
644191200,1.587,1.59,1.585,1.585,0
644450400,1.585,1.585,1.57,1.582,0
644536800,1.57,1.575,1.567,1.567,0
644623200,1.562,1.564,1.556,1.56,0
644709600,1.565,1.585,1.565,1.573,0
644796000,1.565,1.58,1.564,1.575,0
645055200,1.573,1.575,1.565,1.572,0
645141600,1.57,1.574,1.553,1.558,0
645228000,1.55,1.55,1.543,1.545,0
645314400,1.54,1.55,1.54,1.547,0
645400800,1.54,1.55,1.54,1.547,0
645660000,1.535,1.544,1.535,1.54,0
645746400,1.53,1.538,1.53,1.536,0
645832800,1.561,1.562,1.557,1.559,0
645919200,1.558,1.56,1.528,1.528,0
646005600,1.515,1.524,1.512,1.522,0
646264800,1.51,1.52,1.506,1.516,0
646351200,1.51,1.515,1.505,1.507,0
646437600,1.505,1.505,1.495,1.5,0
646524000,1.496,1.52,1.496,1.515,0
646610400,1.51,1.519,1.51,1.519,0
646869600,1.525,1.525,1.516,1.519,0
646956000,1.517,1.525,1.517,1.525,0
647128800,1.518,1.518,1.511,1.514,0
647215200,1.511,1.511,1.495,1.498,0
647474400,1.493,1.495,1.488,1.493,0
647560800,1.493,1.5,1.492,1.5,0
647647200,1.508,1.508,1.495,1.5,0
647733600,1.5,1.502,1.495,1.502,0
647820000,1.52,1.52,1.5,1.5,0
648079200,1.51,1.515,1.49,1.495,0
648165600,1.482,1.485,1.455,1.462,0
648252000,1.455,1.455,1.445,1.45,0
648338400,1.445,1.454,1.44,1.445,0
648424800,1.505,1.505,1.473,1.482,0
648684000,1.465,1.47,1.455,1.46,0
648770400,1.456,1.458,1.44,1.44,0
648856800,1.427,1.445,1.422,1.44,0
648943200,1.44,1.44,1.417,1.435,0
649029600,1.427,1.439,1.427,1.439,0
649288800,1.436,1.436,1.425,1.43,0
649375200,1.425,1.425,1.41,1.411,0
649461600,1.405,1.405,1.396,1.402,0
649548000,1.45,1.46,1.43,1.432,0
649634400,1.445,1.54,1.445,1.51,0
649893600,1.53,1.6,1.52,1.588,0
