time,open,high,low,close,Volume
725670000,102.5,104,102,103.7,92
725756400,103.5,105.5,103.5,104.45,480
726102000,102.75,106.9,102.75,106.8,424
726188400,106.5,108.25,106.5,107.65,359
726274800,108.5,110,108.5,109.5,479
726361200,111.75,111.75,109.5,109.9,235
726447600,108.75,109.25,107.75,108.75,154
726706800,108.25,108.5,107.5,107.75,296
726793200,108,108.75,107.5,107.8,162
726879600,106.5,107,106,106.3,244
726966000,107,107.5,104.6,104.95,412
727052400,102.75,104,101.5,103.05,200
727311600,104.5,106,104.5,105.6,216
727398000,106.25,107,105.5,105.5,283
727484400,105.75,108,105.5,107.7,311
727570800,108.4,108.8,106.1,106.65,338
727657200,106.5,106.5,104,104.6,258
727916400,105.5,107.3,105,107.25,223
728002800,107.5,109,107,108.15,128
728089200,108,108.25,107,107.5,221
728175600,107.25,108.5,107.25,108.5,184
728262000,109.25,110,108.5,108.7,172
728521200,107.75,109.25,107.75,109.1,396
728607600,108.5,110.75,108.5,110,209
728694000,111,111.5,110.5,110.65,257
728780400,110.1,111.5,110,111.2,674
728866800,113,114.25,112.25,112.45,312
729126000,111.25,114,111.25,113.15,427
729212400,114.25,118,114.25,117.15,257
729298800,117.5,118.75,117,118,454
729385200,118.25,120,118.25,118.85,406
729471600,116.25,117.5,115.5,115.95,200
729817200,115.5,116.5,114,116.3,348
729903600,115.5,116.25,114.46,114.9,532
729990000,110,114,110,113.35,572
730076400,110.75,111.5,107.35,107.35,614
730335600,98.35,104,98.35,98.35,199
730422000,101.25,103.5,101,102.85,382
730508400,100.5,100.9,98,98.1,263
730594800,98.8,100.5,98.75,98.75,275
730940400,101.75,102.5,98,101.7,325
731026800,107.7,107.7,107,107.7,181
731113200,103,104,103,103.65,112
731199600,103,104,103,103.55,65
731286000,103.9,104,103,103.5,207
731545200,102.5,103.5,102,102.6,104
731631600,102.25,103,101.75,102.55,108
731718000,102.25,102.75,102,102.7,371
731804400,104.5,106.5,104.5,105,117
731890800,105,105.5,104.5,105,72
732150000,105.5,105.5,105,105.25,238
732236400,103.75,104,102.25,103.3,98
732322800,103.25,103.75,103.25,103.5,59
732409200,102.5,103.75,102.5,103.55,114
732495600,104,105,103.75,104.7,152
732754800,106,106.5,105,105.35,303
732841200,104.25,107,104.25,106,412
732927600,106,108,106,107.95,543
733014000,108.5,109.5,106.5,107.95,189
733100400,108,108.45,107,108.25,676
733359600,107.5,111.85,107.5,110,1030
733446000,110.5,113,110.5,112.25,256
733532400,112,113,109.5,110,379
733618800,111.5,112.5,111,111.5,244
733705200,112.5,114,112.5,113.25,196
733960800,113.25,114.5,113,114.35,244
734047200,113.5,113.5,111.2,111.5,345
734133600,109.5,110.35,107.5,108.5,291
734220000,110,111.5,109.75,110,20
734565600,110.5,111.5,110.25,111.1,115
734652000,111,111.75,110.75,111.5,182
734738400,111.5,113.5,110.5,112.35,425
734824800,112.5,113,110,111,338
734911200,112.5,112.5,111,111.7,395
735170400,113,115,112.75,113.8,266
735256800,113.5,114.75,113,114,910
735343200,113.5,118,112.5,117.55,340
735429600,116,117,115.5,116.25,611
735516000,117.5,118,114,115,292
735775200,117.5,118.75,116,117.25,235
735861600,117.5,117.75,115.25,116.15,143
735948000,115.5,118,115.5,116.75,641
736034400,117.5,119.75,117.5,119.6,348
736120800,117.7,119.5,117.7,118.55,867
736380000,120,120.5,116.1,116.45,401
736466400,115.5,117,115,115.05,304
736552800,114.25,116.75,114.25,116.7,594
736639200,118,122.7,118,120.75,341
736725600,120.75,122,120,120,96
736984800,119.25,119.5,118.5,119.25,100
737071200,118.5,119.25,118.5,118.8,421
737157600,120.25,122,118.5,121.05,133
737244000,122.5,123.5,122,122.1,272
737330400,119,120,118,119.85,218
737589600,120,121,118.25,118.45,719
737676000,118.25,120.35,118.25,119.95,267
737762400,121.75,122,116.5,118.3,482
737848800,117.5,118,117,118,142
737935200,118,118.5,116.5,118.15,194
738194400,118.5,119.25,117.5,118,301
738280800,117,118.5,117,118.25,324
738367200,118.5,120,118,119.65,380
738453600,121,124.75,120.5,124,132
738540000,125,125,123,123.6,281
738885600,123,125,121,122.15,656
738972000,122,122,119,120.3,146
739058400,121,123.5,121,123.1,73
739144800,123.75,124,122.5,123.4,144
739404000,123,124.25,123,123.75,218
739490400,125,126.25,124,124,59
739576800,123.25,125.5,123.25,124.5,149
739663200,124.75,126.5,124.5,125.7,179
739749600,127.5,127.5,125,125.05,108
740008800,125,125,123.8,124.35,270
740095200,123,125.9,123,125.85,278
740181600,126.25,128.5,126.25,127.5,275
740268000,127.75,128.5,127,127.9,337
740354400,128,129,127.25,128,73
740613600,127.75,127.9,127.5,127.75,142
740700000,126.5,127.25,126.5,127,112
740786400,126,127,125.5,127,77
740872800,127.5,128.75,127.5,128.4,205
740959200,129,129.5,128,129.5,229
741218400,132,133,131,131.3,547
741304800,134.5,134.9,133.5,134.75,500
741391200,135.5,138.3,135.5,137.4,361
741477600,137.5,142,137.5,140.2,589
741564000,142.5,144.5,138.5,138.75,449
741909600,139,140,135,138.4,446
741996000,139.25,140,135.5,138,138
742082400,137,137.5,135.75,136,360
742168800,134.5,137.5,133.5,136.75,70
742428000,136.75,138,136.75,137.5,114
742514400,136,136.25,135.5,136.25,55
742600800,137,137,136,136.3,291
742687200,137.75,138.5,136.5,138,111
742773600,138.5,139,137,138,197
743032800,137,138.5,137,138.45,301
743119200,139.25,139.25,137.55,138.45,132
743205600,138.25,138.3,137.25,137.5,204
743292000,136.25,137.8,135.5,137.8,65
743378400,138,138.5,137.3,137.7,173
743637600,136.75,138.75,136.75,138.05,115
743724000,138.5,139,138.25,138.65,320
743810400,139.25,141,139.25,140.2,155
743896800,141,142,140.25,141.75,329
743983200,142,143.9,140.5,143.55,444
744242400,143.5,144,142.25,143.75,194
744328800,143.25,144.4,143,144.4,460
744415200,143.5,145,143.25,144,647
744501600,142.5,143,138,138,676
744588000,137,138,135,136.35,352
744847200,138.75,139.5,138,139.5,325
744933600,139,141,138.5,141,31
745020000,140,141.5,139.5,140.15,96
745106400,139,140.35,135,138.4,160
745192800,137.5,139,137.5,138,126
745452000,139.9,139.9,138.5,139.1,320
745538400,137.5,138,137.45,137.45,211
745624800,136.5,137.9,136.5,137.3,16
745711200,137.75,137.75,137.25,137.25,123
745797600,136,137.5,134.5,136.45,54
746056800,136.75,136.75,135.4,135.4,149
746143200,134,135,132,133.6,126
746229600,130,131,127.6,127.6,76
746316000,121,122.5,120,120.5,65
746402400,119,122.6,118.5,122.6,49
746661600,123,125.5,123,125.45,78
746748000,125,125.4,124.25,125.4,85
746834400,125,125,122.15,123,220
746920800,122.5,122.5,120.5,121.5,124
747007200,122,123,121.5,121.7,441
747352800,121,121,118,118.6,381
747439200,117,117.5,116.25,116.6,537
