time,open,high,low,close,Volume
725670000,353,354.5,351.7,353.5,2433
725756400,352,353,349,352.6,1459
726102000,349.9,353.5,349,352.7,720
726188400,353.5,356,353.5,355.9,1311
726274800,357,359,357,358.6,2146
726361200,360,360.5,357,358,978
726447600,358,358,355.5,357.8,1256
726706800,356.6,357.6,354,355.5,1601
726793200,356,359,355.5,356.9,956
726879600,354.5,356.9,354,355.9,1516
726966000,357,359.5,355,355.4,890
727052400,354,356.5,354,356,456
727311600,356,358,355.5,356.4,650
727398000,357.6,359,356.5,357.4,3173
727484400,357.8,364.9,356.5,363.6,3417
727570800,367,367.5,361,361.7,1494
727657200,361,365,359.5,362,1147
727916400,361,364.4,360.2,363.8,1330
728002800,364.5,366,364,365.2,726
728089200,363,364,361.2,362.4,607
728175600,362,363.8,361.5,363.1,893
728262000,365.5,366.5,362,362.8,2424
728521200,362,363,360,362.1,1071
728607600,357.5,361,357.5,360.3,978
728694000,360.5,363,360,360.3,861
728780400,359.4,361.2,358.5,361,608
728866800,361,362,360.5,361.2,1274
729126000,360,362.5,360,361.8,4478
729212400,363.5,368.4,363.5,367.8,2530
729298800,369.6,372.5,369,370.8,3862
729385200,372,373.5,371,371.4,1475
729471600,370,371,367.7,368.6,1220
729817200,368.5,371.9,367.5,371,3946
729903600,370,370.5,364,366.5,2549
729990000,361.1,364,360.5,363.5,3667
730076400,361.5,363,357,357.4,8165
730335600,348,351,337,338.2,3501
730422000,343.5,347.9,343.5,346.8,2159
730508400,346.5,347,342.2,343.2,1128
730594800,343.6,345.8,343.5,345,1695
730940400,346.5,347.5,343.5,345.8,1780
731026800,336.5,342,335.5,341,1623
731113200,342.2,343.3,340.5,341.5,874
731199600,340.7,342.5,339,341.4,806
731286000,344,344.5,343,343.5,377
731545200,342,343,341,342.2,1172
731631600,344.5,345.5,343.5,345.1,980
731718000,345.1,346.4,344,345.6,2140
731804400,349,352,348.6,349.3,1844
731890800,351,352.5,349.6,352.3,1010
732150000,351,354,351,353.4,1843
732236400,351,352,347,349,3672
732322800,349,349.5,348,348.2,2109
732409200,348.2,350.5,348.2,350,3290
732495600,351,355,350,354.5,4597
732754800,356,358.5,356,356.1,1944
732841200,355,361.5,354.5,359.3,812
732927600,359.8,362,359,360.9,1756
733014000,361.4,363,356.5,357,414
733100400,357.1,357.5,355.5,356.8,624
733359600,355.3,357.8,355,357.6,3772
733446000,361.3,365,359,362.5,2436
733532400,364.5,365.8,362.5,363.5,1508
733618800,362.5,365,361,363.7,2627
733705200,366.5,368.8,364.5,366.4,973
733960800,365,366,364,365,2559
734047200,362,364,360,361.7,2197
734133600,359.3,360.5,356.8,358.9,1729
734220000,361,362,358,358.8,1075
734565600,358.5,364,358,362.5,1175
