date,symbol,rs_ratio,rs_momentum
2025-11-22,SPY,100.00,100.00
2025-11-22,XLK,102.50,101.25
2025-11-22,XLY,98.75,99.50
2025-11-22,XLC,100.15,100.80
2025-11-22,XLV,99.20,98.90
2025-11-22,XLF,101.30,100.50
2025-11-22,XLE,97.80,98.20
2025-11-22,XLI,100.60,99.75
2025-11-22,XLP,98.50,99.10
2025-11-22,XLU,99.80,100.20
2025-11-22,XLB,101.20,100.90
2025-11-22,XLRE,98.90,99.40
2025-11-29,SPY,100.00,100.00
2025-11-29,XLK,103.20,102.10
2025-11-29,XLY,98.30,98.95
2025-11-29,XLC,100.45,101.15
2025-11-29,XLV,99.10,98.50
2025-11-29,XLF,101.80,101.20
2025-11-29,XLE,97.20,97.65
2025-11-29,XLI,100.90,100.10
2025-11-29,XLP,98.20,98.75
2025-11-29,XLU,99.50,99.85
2025-11-29,XLB,101.60,101.30
2025-11-29,XLRE,98.50,98.90
2025-12-06,SPY,100.00,100.00
2025-12-06,XLK,104.10,103.50
2025-12-06,XLY,97.85,98.40
2025-12-06,XLC,100.80,101.60
2025-12-06,XLV,98.90,97.95
2025-12-06,XLF,102.30,101.90
2025-12-06,XLE,96.50,96.80
2025-12-06,XLI,101.25,100.55
2025-12-06,XLP,97.85,98.30
2025-12-06,XLU,99.15,99.40
2025-12-06,XLB,102.10,101.75
2025-12-06,XLRE,98.05,98.35
2025-12-13,SPY,100.00,100.00
2025-12-13,XLK,105.20,104.80
2025-12-13,XLY,97.40,97.85
2025-12-13,XLC,101.15,102.10
2025-12-13,XLV,98.65,97.30
2025-12-13,XLF,102.90,102.50
2025-12-13,XLE,95.85,96.10
2025-12-13,XLI,101.65,101.05
2025-12-13,XLP,97.45,97.80
2025-12-13,XLU,98.75,98.90
2025-12-13,XLB,102.60,102.25
2025-12-13,XLRE,97.60,97.80
2025-12-20,SPY,100.00,100.00
2025-12-20,XLK,106.50,106.20
2025-12-20,XLY,96.95,97.30
2025-12-20,XLC,101.55,102.65
2025-12-20,XLV,98.35,96.75
2025-12-20,XLF,103.55,103.10
2025-12-20,XLE,95.20,95.40
2025-12-20,XLI,102.10,101.60
2025-12-20,XLP,97.05,97.30
2025-12-20,XLU,98.30,98.40
2025-12-20,XLB,103.15,102.80
2025-12-20,XLRE,97.15,97.25
